"filename", "language", "C++", "XML", "comment", "blank", "total"
"/home/bonychops/CLionProjects/prog_game/.idea/discord.xml", "XML", 0, 7, 0, 0, 7
"/home/bonychops/CLionProjects/prog_game/.idea/misc.xml", "XML", 0, 4, 0, 0, 4
"/home/bonychops/CLionProjects/prog_game/main.cpp", "C++", 59, 0, 0, 17, 76
"/home/bonychops/CLionProjects/prog_game/src/Animator.h", "C++", 78, 0, 3, 17, 98
"/home/bonychops/CLionProjects/prog_game/src/Collision.h", "C++", 27, 0, 3, 10, 40
"/home/bonychops/CLionProjects/prog_game/src/CoordinateUtils.h", "C++", 14, 0, 3, 5, 22
"/home/bonychops/CLionProjects/prog_game/src/Define.h", "C++", 7, 0, 3, 5, 15
"/home/bonychops/CLionProjects/prog_game/src/Drawer.h", "C++", 17, 0, 3, 4, 24
"/home/bonychops/CLionProjects/prog_game/src/FieldScene.h", "C++", 33, 0, 3, 8, 44
"/home/bonychops/CLionProjects/prog_game/src/Image.h", "C++", 71, 0, 5, 19, 95
"/home/bonychops/CLionProjects/prog_game/src/Keyboard.h", "C++", 21, 0, 3, 10, 34
"/home/bonychops/CLionProjects/prog_game/src/KeyboardManager.h", "C++", 28, 0, 3, 9, 40
"/home/bonychops/CLionProjects/prog_game/src/Map.h", "C++", 14, 0, 3, 7, 24
"/home/bonychops/CLionProjects/prog_game/src/Object.h", "C++", 12, 0, 3, 9, 24
"/home/bonychops/CLionProjects/prog_game/src/ObjectManager.h", "C++", 27, 0, 3, 8, 38
"/home/bonychops/CLionProjects/prog_game/src/Point.h", "C++", 7, 0, 3, 4, 14
"/home/bonychops/CLionProjects/prog_game/src/ResourceManager.h", "C++", 30, 0, 3, 9, 42
"/home/bonychops/CLionProjects/prog_game/src/SceneManager.h", "C++", 31, 0, 3, 10, 44
"/home/bonychops/CLionProjects/prog_game/src/WindowManager.cpp", "C++", 63, 0, 7, 18, 88
"/home/bonychops/CLionProjects/prog_game/src/WindowManager.h", "C++", 73, 0, 5, 28, 106
"/home/bonychops/CLionProjects/prog_game/src/objects/Block.h", "C++", 21, 0, 3, 11, 35
"Total", "-", 633, 11, 62, 208, 914